bvid,title,length,category,topic,season,created,play,status,video,text,url
BV17Y411f7yp,从事珠宝鉴定师需要做些什么呢？,03:57,06_鉴定与避坑,06_鉴定与避坑,,1668424610,18499,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/06_鉴定与避坑,,https://www.bilibili.com/video/BV17Y411f7yp
BV1u14y1W74z,钻石复检，这些事儿不知道可能会踩坑！,02:59,01_钻石,01_钻石,,1668247800,18726,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1u14y1W74z
BV1Gd4y1k7WM,明价局|这批碧玺太值得！,03:21,02_彩色宝石,02_彩色宝石,,1668166623,9052,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1Gd4y1k7WM
BV1Re4y1x7YZ,未来珠宝鉴定师还吃香吗？机械化后真的需要吗？,02:47,06_鉴定与避坑,06_鉴定与避坑,,1667907629,23418,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/06_鉴定与避坑,,https://www.bilibili.com/video/BV1Re4y1x7YZ
BV1AP4y127tm,买红宝石不能只看证书，十年珠宝人来说大实话！,02:14,02_彩色宝石,02_彩色宝石,,1667815399,21109,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1AP4y127tm
BV14G4y187FC,承认吧！你也会为海蓝宝着迷吧！,02:48,02_彩色宝石,02_彩色宝石,,1667562880,13819,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV14G4y187FC
BV1M24y1f7ST,盘点同一颗裸石的多种可能性！坦桑专场,02:57,02_彩色宝石,02_彩色宝石,,1667483586,23178,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1M24y1f7ST
BV1rR4y1Q7SS,珠宝圈从业12年，那些你并不知道的事儿,03:30,08_行业与商业,08_行业与商业,,1666960773,10346,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/08_行业与商业,,https://www.bilibili.com/video/BV1rR4y1Q7SS
BV1HD4y1b7P3,鸭屎绿宝石？这颜色过分了！,01:44,02_彩色宝石,02_彩色宝石,,1666690923,7045,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1HD4y1b7P3
BV1LV4y1G7Xk,10周年庆来啦！福利必不可少！,02:36,09_品牌新品与动态,09_品牌新品与动态,,1666602000,16183,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/09_品牌新品与动态,,https://www.bilibili.com/video/BV1LV4y1G7Xk
BV1Q84y1z783,同样是几十分蓝宝石，差距为什么这么大？,02:18,02_彩色宝石,02_彩色宝石,,1666175432,12821,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1Q84y1z783
BV11W4y177Bw,还有啥不知道的，这只是祖母绿的冰山一角！,02:29,02_彩色宝石,02_彩色宝石,,1666088703,5445,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV11W4y177Bw
BV1xW4y1J7Mi,卷起来了！过气的矿区建议改造成公园！,02:08,02_彩色宝石,02_彩色宝石,,1665826200,9410,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1xW4y1J7Mi
BV1fD4y1k7vh,收手吧！这些宝石太便宜怕被薅光！,02:43,02_彩色宝石,02_彩色宝石,,1665661938,25281,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1fD4y1k7vh
BV1AN4y1w7SM,你不会是最后一个才知道祖母绿有猫眼效应吧？,02:55,02_彩色宝石,02_彩色宝石,,1665566635,37265,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1AN4y1w7SM
BV17t4y1c7he,终究没能抵抗住水晶，毫不逊色贵宝！,03:40,【合集】宝石之国,02_彩色宝石,宝石之国,1665221706,30005,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】宝石之国,,https://www.bilibili.com/video/BV17t4y1c7he
BV19G4y1W78d,这颗即将亮相苏富比拍卖行的粉钻，女孩子的终极梦想！,02:15,01_钻石,01_钻石,,1665027248,11370,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV19G4y1W78d
BV1FD4y127zE,钻石真的会1克拉白菜价吗？最新数据分析！,05:33,01_钻石,01_钻石,,1664875800,15426,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1FD4y127zE
BV17V4y1N7nk,设计图与成品不能说毫无关系，只能说一模一样！,02:33,05_金属首饰与佩戴,05_金属首饰与佩戴,,1664616600,3631,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV17V4y1N7nk
BV1aN4y1P7NN,三分钟揭秘珠宝行业利润！,03:51,06_鉴定与避坑,06_鉴定与避坑,,1664519029,5669,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/06_鉴定与避坑,,https://www.bilibili.com/video/BV1aN4y1P7NN
